date,miner_id,pool_name,blocks_mined,block_count,cost_per_block,daily_share,cost_usd_per_day
2025-01-31,7,SBI Crypto,1,104,225379.9842640769,0.0096153846,225379.9842640769
2025-01-31,8,Braiins Pool,2,104,225379.9842640769,0.0192307692,450759.9685281538
2025-02-01,0,Foundry USA,69,162,152334.1765852692,0.4259259259,10511058.1843835749
2025-02-01,1,AntPool,37,162,152334.1765852692,0.2283950617,5636364.5336549599
2025-02-01,3,ViaBTC,19,162,152334.1765852692,0.1172839506,2894349.3551201145
2025-02-01,4,F2Pool,22,162,152334.1765852692,0.1358024691,3351351.8848759220
2025-02-01,5,Binance Pool,4,162,152334.1765852692,0.0246913580,609336.7063410768
2025-02-01,6,MARA Pool,7,162,152334.1765852692,0.0432098765,1066339.2360968844
2025-02-01,7,SBI Crypto,2,162,152334.1765852692,0.0123456790,304668.3531705384
2025-02-01,8,Braiins Pool,1,162,152334.1765852692,0.0061728395,152334.1765852692
2025-02-01,10,Poolin,1,162,152334.1765852692,0.0061728395,152334.1765852692
2025-02-02,0,Foundry USA,52,154,164930.5466739405,0.3376623377,8576388.4270449057
2025-02-02,1,AntPool,36,154,164930.5466739405,0.2337662338,5937499.6802618578
