date,pool_name,revenue_usd,cost_usd,Pi_usd
2024-07-17,Braiins Pool,415546.36827648577,276586.3507403109,138960.01753617486
2024-07-17,Carbon Negative,204533.50973191703,138293.1753701555,66240.33436176152
2024-07-17,F2Pool,4998476.389757704,3319036.2088837307,1679440.1808739733
2024-07-17,Foundry USA,10906145.872622836,7329538.294618239,3576607.5780045977
2024-07-17,Luxor,824843.0902355034,0.0,824843.0902355034
2024-07-17,MARA Pool,1889627.1030769965,1244638.578331399,644988.5247455975
2024-07-17,SECPOOL,208270.32835839293,0.0,208270.32835839293
2024-07-17,SpiderPool,1234922.2932699474,0.0,1234922.2932699474
2024-07-17,ViaBTC,2668004.1307842396,1797811.2798120207,870192.8509722189
2024-07-17,WhitePool,625396.3891460139,0.0,625396.3891460139
2024-07-18,AntPool,6584130.865732489,5630529.688947762,953601.1767847268
2024-07-18,BTC.com,418303.5930040937,351908.1055592351,66395.48744485859
2024-07-18,Binance Pool,414261.38138236414,351908.1055592351,62353.27582312905
2024-07-18,Braiins Pool,407508.20856104733,351908.1055592351,55600.10300181224
2024-07-18,Carbon Negative,422657.8109079641,351908.1055592351,70749.70534872904
2024-07-18,F2Pool,2042010.2003555242,1759540.5277961758,282469.6725593484
2024-07-18,Foundry USA,7205109.925083198,6158391.8472866155,1046718.0777965821
2024-07-18,Luxor,610615.1722972472,0.0,610615.1722972472
2024-07-18,MARA Pool,1230216.0073197484,1055724.3166777054,174491.69064204302
2024-07-18,Poolin,410217.8109514641,351908.1055592351,58309.70539222902
2024-07-18,SBI Crypto,408502.3374044112,351908.1055592351,56594.23184517614
2024-07-18,SECPOOL,638019.1072214725,0.0,638019.1072214725
2024-07-18,SpiderPool,1844823.1519779111,0.0,1844823.1519779111
2024-07-18,ULTIMUSPOOL,206571.7243231048,0.0,206571.7243231048
2024-07-18,ViaBTC,3698813.4104273347,3167172.950033116,531640.4603942186
2024-07-19,AntPool,9465227.70270439,6493883.390154594,2971344.312549797
2024-07-19,BTC.com,861151.3517880086,590353.0354685994,270798.3163194092
2024-07-19,Binance Pool,428314.40540735156,295176.5177342997,133137.88767305185
2024-07-19,Braiins Pool,215448.60159046875,147588.2588671499,67860.34272331884
2024-07-19,Carbon Negative,437395.07444769575,295176.5177342997,142218.55671339604
2024-07-19,F2Pool,4488263.420206069,3099353.436210147,1388909.983995922
2024-07-19,Foundry USA,7715024.502449987,5313177.319217395,2401847.1832325924
2024-07-19,Luxor,1070971.6695509765,0.0,1070971.6695509765
2024-07-19,MARA Pool,1507399.5690210615,1033117.812070049,474281.75695101253
2024-07-19,SBI Crypto,858606.6202042749,590353.0354685994,268253.5847356755
2024-07-19,SECPOOL,431202.2344671503,0.0,431202.2344671503
2024-07-19,SpiderPool,1064316.8300249334,0.0,1064316.8300249334
2024-07-19,ViaBTC,3019074.784919518,2066235.624140098,952839.16077942
2024-07-20,AntPool,9656280.388870465,5953011.412445627,3703268.9764248375
2024-07-20,BTC.com,214048.93295620405,132289.1424987917,81759.79045741234
2024-07-20,Binance Pool,641367.410399776,396867.4274963752,244499.98290340073
2024-07-20,Braiins Pool,442794.5995496105,264578.2849975834,178216.3145520271
2024-07-20,Carbon Negative,215324.5130269669,132289.1424987917,83035.37052817518
2024-07-20,F2Pool,2803613.2913162755,1719758.8524842924,1083854.4388319831
2024-07-20,Foundry USA,10281334.72020855,6349878.839942003,3931455.880266547
2024-07-20,Luxor,1086005.5998346778,0.0,1086005.5998346778
2024-07-20,MARA Pool,1500451.1492894918,926023.997491542,574427.1517979498
2024-07-20,SBI Crypto,642886.5325761379,396867.4274963752,246019.1050797627
2024-07-20,SECPOOL,214216.9931955068,0.0,214216.9931955068
2024-07-20,SpiderPool,1071745.5338926464,0.0,1071745.5338926464
2024-07-20,ViaBTC,6487047.966562532,3968674.274963751,2518373.691598781
2024-07-20,WhitePool,233911.59534759913,0.0,233911.59534759913
2024-07-21,AntPool,9800292.739424108,5919718.185374324,3880574.5540497834
2024-07-21,BTC.com,216612.35197452115,131549.2930083183,85063.05896620287
2024-07-21,Binance Pool,1540923.121909407,920845.0510582282,620078.0708511787
2024-07-21,Braiins Pool,651717.4051479425,394647.879024955,257069.5261229875
2024-07-21,F2Pool,4137363.1400730186,2499436.567158048,1637926.5729149706
2024-07-21,Foundry USA,10632048.26890272,6445915.357407598,4186132.911495123
2024-07-21,Luxor,649687.0662191989,0.0,649687.0662191989
2024-07-21,MARA Pool,1748927.266591257,1052394.3440665463,696532.9225247107
2024-07-21,OCEAN,215958.55244663756,0.0,215958.55244663756
2024-07-21,SBI Crypto,1088444.2251945492,657746.4650415916,430697.76015295764
2024-07-21,SECPOOL,1313005.2569298157,0.0,1313005.2569298157
2024-07-21,SpiderPool,446267.3271440478,0.0,446267.3271440478
2024-07-21,ULTIMUSPOOL,215652.93461418437,0.0,215652.93461418437
2024-07-21,ViaBTC,3929677.5834118063,2367887.27414973,1561790.3092620764
2024-07-21,WhitePool,216066.25635848063,0.0,216066.25635848063
2024-07-22,AntPool,8065060.785389875,4991847.467406054,3073213.317983821
2024-07-22,BTC.com,432576.8149792595,269829.5928327597,162747.2221464998
2024-07-22,Binance Pool,431957.08912985324,269829.5928327597,162127.49629709352
2024-07-22,Braiins Pool,1522479.0062160576,944403.5749146588,578075.4313013988
2024-07-22,F2Pool,4528698.598000899,2833210.7247439763,1695487.8732569227
2024-07-22,Foundry USA,12404961.888967577,7690143.395733651,4714818.493233927
2024-07-22,Luxor,1304086.3757867552,0.0,1304086.3757867552
2024-07-22,MARA Pool,869803.3370936504,539659.1856655193,330144.15142813104
2024-07-22,Mining-Dutch,215910.471419635,0.0,215910.471419635
2024-07-22,SBI Crypto,1512230.5532517603,944403.5749146588,567826.9783371015
2024-07-22,SECPOOL,454030.8773070775,0.0,454030.8773070775
