Average electricity cost assumption: 0.05 USD/kWh,,,
Date,Lower bound cost of minting USD,Estimated cost of minting USD,Upper bound cost of minting USD
2024-08-22,25481.316282451677,38071.76688181679,55550.43647631312
2024-08-23,25484.88515544148,38160.33241650543,55949.27325497379
2024-08-24,25485.08303767662,38244.15893669882,56342.12226208494
2024-08-25,25477.940555334524,38316.95398657331,56718.586932295075
2024-08-26,25486.62795059577,38383.47889941028,57318.158837024086
2024-08-27,25497.754860653273,38527.97009170383,57946.21118321443
2024-08-28,25558.69774150228,38749.079487028415,58692.49044635601
2024-08-29,26229.625924227224,39856.57574035529,60563.469833450145
2024-08-30,26344.41493417375,40125.60045812205,61180.34244569145
2024-08-31,26462.150790418447,40322.78034951207,61782.858216821034
2024-09-01,26365.02209591101,40266.97176206134,62057.7204876194
2024-09-02,26277.59642514045,40206.81399533897,62029.1851840433
2024-09-03,26168.774460757177,40039.868362822235,61928.244167911886
2024-09-04,26008.825208362956,39794.5440785132,61707.43174930056
2024-09-05,25782.33747306279,39447.21658476782,61329.38557101791
2024-09-06,25568.315150493756,39085.1388807718,60717.51215468794
2024-09-07,25352.40162479648,38796.7022211399,60123.20377990792
2024-09-08,25360.47079668902,38727.08709929771,59736.97074693496
2024-09-09,25358.61959699955,38579.360209339284,59278.33682415254
2024-09-10,25364.05206517802,38427.07469729688,58787.31649421481
2024-09-11,25472.590851165998,38428.01081992698,58527.78303993387
2024-09-12,25619.172381175886,38451.51280308648,57611.77829180277
2024-09-13,25738.25607923271,38467.13500252684,56896.560406216806
2024-09-14,25858.98380288449,38484.609582201054,56181.2544709399
2024-09-15,25986.636221540124,38560.14536665939,55619.626079854745
2024-09-16,26109.33036555693,38691.85089659393,55100.25879958975
2024-09-17,26236.616220176198,38846.32610761112,54641.72856954014
2024-09-18,26257.348998562444,38842.16017189943,53942.61111588937
2024-09-19,26225.386318576995,38829.57489315775,54615.699271388956
2024-09-20,26219.759756787505,38937.56914440247,55449.966757910195
2024-09-21,26225.748256849467,39063.56558658403,56314.060107129415
2024-09-22,26227.201057978844,39232.70856050263,57315.51325780068
2024-09-23,26227.09731145314,39398.76433648943,58309.07738381117
2024-09-24,26234.179255598436,39575.76308219866,59319.276720952745
2024-09-25,26198.676557036724,39687.991011308644,60231.37272182233
2024-09-26,26043.799007677826,39615.35881494106,60377.975998352515
2024-09-27,25856.259405648954,39412.0350624259,60345.6562811908
2024-09-28,25645.712129895128,39174.03466662009,60261.229633709045
2024-09-29,25461.22803294392,38944.678189991035,60426.80387290866
2024-09-30,25288.295758654105,38804.23686778696,60640.217157506144
2024-10-01,25112.41561105118,38740.30295945162,60944.04048686058
2024-10-02,24983.795786530653,38748.78648672545,61358.91458495538
2024-10-03,25005.38199388188,38952.55685128857,61861.64943729213
2024-10-04,25046.16799878069,39186.005445195944,62410.9658608098
2024-10-05,25043.558545806845,39351.0209432528,62851.419263155476
2024-10-06,25024.954203922214,39474.04360684721,62923.26408488768
2024-10-07,24976.09748193028,39477.584116418424,62896.658271095555
2024-10-08,24935.680836381747,39413.70097672857,62794.87808124128
2024-10-09,24964.728552379565,39459.614220481846,62868.0281907807
2024-10-10,24981.48228932725,39486.09542156201,62910.21869185176
2024-10-11,24823.07289254429,39235.71121759039,62511.3004179462
2024-10-12,24720.95421118138,39074.30093977263,62254.13759219151
2024-10-13,24742.09030051956,39107.70895098591,62307.3640575852
2024-10-14,24790.06737297516,39183.54221176235,62428.18347436039
2024-10-15,24848.060708723988,39275.20732445149,62574.22658710984
2024-10-16,24552.710343563427,38826.507344036145,62270.62615213763
2024-10-17,24388.797768894143,38586.18433503517,62313.17942243698
2024-10-18,24539.06051728124,38843.23866147746,63166.0199165579
2024-10-19,24776.47758367949,39238.61486875238,64252.040181079596
2024-10-20,24886.912874303955,39433.3484208409,65019.901855753036
2024-10-21,24975.8727657637,39593.9681852412,65729.5695216454
2024-10-22,24995.437196149873,39709.896116418204,66737.71129489271
2024-10-23,25422.76020502355,40455.278473152415,68367.27588300218
2024-10-24,25542.75181779403,40709.72912721615,69156.58525672258
2024-10-25,25633.40760178439,40919.72231815645,69883.35024827458
2024-10-26,25800.612702494032,41254.37409332577,70836.88051675072
2024-10-27,25979.11308091497,41607.364763687736,71823.46588042723
2024-10-28,26196.901003791176,42022.81734808298,72915.28938012217
2024-10-29,26426.38852144893,42390.94150279888,73554.0347323575
2024-10-30,26545.164528780606,42511.7132905771,73372.07749550181
2024-10-31,26464.95467204866,42320.35949595872,72688.2221892275
2024-11-01,26260.403617118372,42527.701110394366,72727.29067561173
2024-11-02,25882.123272354784,42457.318193296975,72283.89622061992
2024-11-03,25491.02800173628,42368.02806012039,71806.70733990331
2024-11-04,25106.584296375568,42291.710953697286,71350.64902766091
2024-11-05,24953.21280874539,42616.33553876012,71572.1465297275
2024-11-06,24769.18513768842,42959.953552128594,72219.06457452042
2024-11-07,24989.40639095751,43946.86160431889,73941.3585559271
2024-11-08,25205.921316718646,44304.96692156782,74037.24456068919
2024-11-09,25367.54728543647,44589.20552923145,74515.480958863
2024-11-10,25549.733245676765,44909.601342387985,75054.55248378158
2024-11-11,25660.722414279233,45104.789077376205,75382.95924075156
2024-11-12,25560.60121965841,44928.713975198,75086.70982070992
2024-11-13,25435.110424172384,44780.3152602516,75241.72729101984
2024-11-14,25266.239555557142,44554.99576479168,75263.78768655514
2024-11-15,25029.772182052926,44231.81962208947,75618.64173567017
2024-11-16,25012.417751745154,44274.78067373937,76102.28169859658
2024-11-17,25019.435561071765,44361.73318629654,76666.26375255178
2024-11-18,25033.77504684585,44460.56668860138,77244.66531169617
2024-11-19,25044.084997853064,44581.16621050612,78874.57170666716
2024-11-20,25086.196885230518,44685.29183654136,80070.5341139619
2024-11-21,25159.682955570923,44845.232567795945,81364.0560016688
2024-11-22,25327.797313765383,45173.6234313173,82955.66121919049
2024-11-23,25369.401443161314,45381.43284765932,85329.07564220321
2024-11-24,25387.78421635752,45549.11753378203,87650.2148009193
2024-11-25,25454.695632358314,45803.11567299897,90121.85548521994
2024-11-26,25478.076596469673,46055.43080601679,91811.19244523157
2024-11-27,25561.366040570367,46418.05953312753,93729.26241549288
2024-11-28,25617.265315493565,46730.16720182039,95542.10062409662
2024-11-29,25648.793863121136,46835.3992363113,96807.31783291949
2024-11-30,25689.870644590028,46854.29505483447,96960.1395035837
2024-12-01,25614.526080385163,46686.059893116406,97135.97722722842
2024-12-02,25553.00115328555,46542.79815832945,97364.91779487963
2024-12-03,25640.815465551867,46562.61952817614,97702.70262587779
